htid	HTRecord	WWEnd ID	ISFDB ID	Title	Author	Year
mdp.39015041871776	848622	N/A	33908	A Very Large Array: New Mexico Science Fiction and Fantasy	Melinda M. Snodgrass	1987
mdp.39015000254519	1026920	N/A	33927	Science Fiction: The Future	Dick Allen	1971
uc1.b3472988	1026920	N/A	33927	Science Fiction: The Future	Dick Allen	1971
mdp.39015064094074	5223013	N/A	33935	Grails: Visitations of the Night	Richard Gilliam & Martin H. Greenberg & Edward E. Kramer	1994
mdp.39015063160801	5146412	N/A	33947	Science Fiction from China	Patrick D. Murphy & Dingbo Wu	1989
uc1.32106008714476	5146412	N/A	33947	Science Fiction from China	Patrick D. Murphy & Dingbo Wu	1989
uva.x001639035	5146412	N/A	33947	Science Fiction from China	Patrick D. Murphy & Dingbo Wu	1989
uc1.32106018772332	7137617	N/A	33948	The Best Japanese Science Fiction Stories	John L. Apostolou & Martin H. Greenberg	1989
uva.x001520569	101890407	N/A	33948	The Best Japanese Science Fiction Stories	John L. Apostolou & Martin H. Greenberg	1989
mdp.39015061468552	4988150	N/A	33975	Icarus & Angels: Flights of Fantasy	Gary Bowen	1996
uc1.32106006586751	7117639	N/A	33990	The Far Side of Time	Roger Elwood	1974
dul1.ark:/13960/t8md8n56r	2521690	N/A	33993	Storming the Reality Studio	Larry McCaffery	1991
mdp.39015024968599	2521690	N/A	33993	Storming the Reality Studio	Larry McCaffery	1991
mdp.39015017665772	555488	N/A	33998	Tesseracts	Judith Merril	1985
uva.x002228350	101944966	N/A	34001	Tesseracts 4	Michael Skeet & Lorna Toolis	1992
uva.x000239879	101864845	N/A	34053	Beyond Human Ken	Judith Merril	1952
inu.39000002826803	6056174	N/A	34068	Imagination Unlimited	Everett F. Bleiler & T. E. Dikty	1952
uva.x030786273	102088755	N/A	34069	Men of Space and Time	Everett F. Bleiler & T. E. Dikty	1953
mdp.39015000608797	1901332	N/A	34086	Mirror of Inifinity: A Critics' Anthology of Science Fiction	Robert Silverberg	1970
mdp.39015065698170	1421317	N/A	34086	Mirror of Inifinity: A Critics' Anthology of Science Fiction	Robert Silverberg	1970
uc1.32106012422611	1901332	N/A	34086	Mirror of Inifinity: A Critics' Anthology of Science Fiction	Robert Silverberg	1970
uva.x000124801	102072583	N/A	34126	Out of the Unknown	E. Mayne Hull & A. E. van Vogt	1948
mdp.39015030931268	1441752	N/A	34129	Beachheads in Space	August Derleth	1952
mdp.39015013433084	558602	N/A	34131	The Golden Years of Science Fiction: Second Series	Isaac Asimov & Martin H. Greenberg	1983
mdp.39015014515558	558602	N/A	34132	The Golden Years of Science Fiction: Third Series	Isaac Asimov & Martin H. Greenberg	1984
uva.x000787179	102028120	N/A	34132	The Golden Years of Science Fiction: Third Series	Isaac Asimov & Martin H. Greenberg	1984
mdp.39015014514650	558602	N/A	34133	The Golden Years of Science Fiction: Fourth Series	Isaac Asimov & Martin H. Greenberg	1984
uva.x000862869	101994839	N/A	34133	The Golden Years of Science Fiction: Fourth Series	Isaac Asimov & Martin H. Greenberg	1984
mdp.39015014163797	558602	N/A	34134	The Golden Years of Science Fiction: Fifth Series	Isaac Asimov & Martin H. Greenberg	1985
uva.x000528200	101862094	N/A	34229	Invaders of Earth	Groff Conklin	1952
pst.000021912450	7067529	N/A	34230	Omnibus of Science Fiction	Groff Conklin	1952
uc1.b3541071	6671269	N/A	34231	Possible Worlds of Science Fiction	Groff Conklin	1951
uva.x000494743	101864832	N/A	34233	Science Fiction Adventures in Dimension	Groff Conklin	1953
uva.x000050428	102059898	N/A	34234	Science Fiction Adventures in Mutation	Groff Conklin	1955
mdp.39015016460944	1441725	N/A	34237	Science-Fiction Thinking Machines	Groff Conklin	1954
mdp.39015018618788	1441725	N/A	34237	Science-Fiction Thinking Machines	Groff Conklin	1954
inu.30000047604883	7112433	N/A	34251	Modern Masterpieces of Science Fiction	Sam Moskowitz	1965
uc1.32106005940504	7112433	N/A	34251	Modern Masterpieces of Science Fiction	Sam Moskowitz	1965
mdp.49015001414128	4525310	N/A	34264	Looking Forward	Milton Lesser	1953
osu.32435060539608	101673038	N/A	34282	Space Police	Andre Norton	1956
pst.000006571351	7040321	N/A	34291	The End of Summer: Science Fiction of the Fifties	Barry N. Malzberg & Bill Pronzini	1979
mdp.49015000959693	4478661	N/A	34370	Those Who Can: A Science Fiction Reader	Robin Scott Wilson	1973
uiug.30112014069030	102697033	N/A	34374	The Petrified Planet	Fletcher Pratt	1952
uva.x000491854	101906006	N/A	34400	The Oddballs	Vic Ghidalia	1973
pst.000007408717	12268570	N/A	34437	Analog Yearbook	Ben Bova	1978
inu.30000001265085	7594457	N/A	34438	The Analog Anthology #1	Stanley Schmidt	1980
inu.39000000524178	7593853	N/A	34439	The Analog Anthology #2	Stanley Schmidt	1982
mdp.39015001117038	280392	N/A	34439	The Analog Anthology #2	Stanley Schmidt	1982
pst.000007889585	12268396	N/A	34499	Other Worlds 1	Roy Torgeson	1979
pst.000006571979	12268397	N/A	34500	Other Worlds 2	Roy Torgeson	1980
uc1.b3477285	6662959	N/A	34502	The Penguin Science Fiction Omnibus	Brian W. Aldiss	1973
pst.000007756283	12268560	N/A	34532	Chrysalis 6	Roy Torgeson	1980
uc1.b3870206	6738793	N/A	34555	Androids, Time Machines and Blue Giraffes	Roger Elwood & Vic Ghidalia	1973
